"Date,""Open"",""High"",""Low"",""Close"",""Volume"",""Adj Close"""
2004-08-19 07:00:00,100,104,96.0,100,22351900,100.34
2004-08-20 07:00:00,101,109,101,108,11428600,108.31
2004-08-23 07:00:00,111,113,109,109,9137200,109.4
2004-08-24 07:00:00,111,112,104,105,7631300,104.87
2004-08-25 07:00:00,105,108,104,106,4598900,106.0
2004-08-26 07:00:00,105,108,105,108,3551000,107.91
2004-08-27 07:00:00,108,109,106,106,3109000,106.15
2004-08-30 07:00:00,105,105,102,102,2601000,102.01
2004-08-31 07:00:00,102,104,102,102,2461400,102.37
2004-09-01 07:00:00,103,103,99.7,100,4573700,100.25
2004-09-02 07:00:00,99.2,102,98.9,102,7566900,101.51
2004-09-03 07:00:00,101,102,99.3,100,2578800,100.01
2004-09-07 07:00:00,101,102,99.6,102,2926700,101.58
2004-09-08 07:00:00,101,103,101,102,2495300,102.3
2004-09-09 07:00:00,103,103,101,102,2032900,102.31
2004-09-10 07:00:00,102,107,101,105,4353800,105.33
2004-09-13 07:00:00,107,108,106,108,3926000,107.5
2004-09-14 07:00:00,107,112,107,111,5419900,111.49
2004-09-15 07:00:00,111,114,110,112,5361900,112.0
2004-09-16 07:00:00,112,116,112,114,4637800,113.97
2004-09-17 07:00:00,114,117,114,117,4741000,117.49
2004-09-20 07:00:00,117,122,117,119,5319700,119.36
2004-09-21 07:00:00,120,120,118,118,3618000,117.84
2004-09-22 07:00:00,117,120,117,118,3794400,118.38
2004-09-23 07:00:00,119,123,117,121,4272100,120.82
2004-09-24 07:00:00,121,124,120,120,4566300,119.83
2004-09-27 07:00:00,120,121,118,118,3536600,118.26
2004-09-28 07:00:00,121,127,120,127,8473000,126.86
2004-09-29 07:00:00,127,135,126,131,15273500,131.08
2004-09-30 07:00:00,130,132,129,130,6885900,129.6
2004-10-01 07:00:00,131,134,129,133,7570000,132.58
2004-10-04 07:00:00,135,137,134,135,6517900,135.06
2004-10-05 07:00:00,135,139,132,138,7494100,138.37
2004-10-06 07:00:00,138,138,136,137,6697400,137.08
2004-10-07 07:00:00,137,140,137,139,7064600,138.85
2004-10-08 07:00:00,139,140,137,138,5540300,137.73
2004-10-11 07:00:00,137,139,134,135,5241300,135.26
2004-10-12 07:00:00,134,138,133,137,5838600,137.4
2004-10-13 07:00:00,143,144,140,141,9893000,140.9
2004-10-14 07:00:00,141,142,139,142,5226300,142.0
2004-10-15 07:00:00,145,146,142,144,6604000,144.11
2004-10-18 07:00:00,143,149,141,149,7025200,149.16
